338,337,480,481,479,559,560,309,22,12,292,7,4,143,2,45,13,259,33,333,478,106,25,26,148,324,339,340,390,161,99,140,382,112,358,351,334,328,332,483,341,471,432,236,72,15,39,56,90,18,174,20,207,199,76,342,388,353,318,277,159,102,304,1,263,364,125,371,271,326,253,428,285,288,104,73,488,321,355,394,36,362,368,302,269,23,317,470,482,377,166,136,402,261,469,142,430,165,443,486,460,465,385,451,437,313,447,295,331,193,173,336,513,305,310,260,540,509,383,457,517,171,296,441,617,323,515,548,599,507,636,589,536,529,568,
Score Information 
338 : 0.6237742034896958
337 : 0.6237742034896958
480 : 0.6237742034896958
481 : 0.6237742034896958
479 : 0.6237742034896958
559 : 0.6237742034896958
560 : 0.6237742034896958
309 : 0.5515505000526824
22 : 0.4857153279196935
12 : 0.3542326241884508
292 : 0.31246158746868247
7 : 0.308593823383835
4 : 0.2875202373684953
143 : 0.28304503792141755
2 : 0.2808346219924207
45 : 0.26318970668847896
13 : 0.23832257501763543
259 : 0.22040949952438726
33 : 0.21795430602894417
333 : 0.2079890713113386
478 : 0.2079890713113386
106 : 0.20608376716319654
25 : 0.2013682911742527
26 : 0.19128829345206633
148 : 0.1899880696606182
324 : 0.18888603353173128
339 : 0.18862599568658034
340 : 0.1886259956865799
390 : 0.18439580533185174
161 : 0.183177411841712
99 : 0.1828326964291347
140 : 0.1803055929250883
382 : 0.17957321684125693
112 : 0.1777794652180904
358 : 0.17759936585700853
351 : 0.1712720759662094
334 : 0.17039508141978432
328 : 0.16970016821052303
332 : 0.16970016821052258
483 : 0.16970016821052258
341 : 0.16970016821052258
471 : 0.16897221601851609
432 : 0.16553729195569655
236 : 0.1633342702355538
72 : 0.16311680547724539
15 : 0.16180338895217217
39 : 0.16159861081220983
56 : 0.1587553532763244
90 : 0.15745280033698572
18 : 0.15653666760784324
174 : 0.15580510023303118
20 : 0.1542451607874349
207 : 0.1537972715676572
199 : 0.15282090628220502
76 : 0.15241401753075712
342 : 0.14889832990986118
388 : 0.14835179476566918
353 : 0.14778579704618178
318 : 0.14504327925009086
277 : 0.14491205570410726
159 : 0.1434123660889366
102 : 0.14313628819013058
304 : 0.14253632143525552
1 : 0.1417624469027743
263 : 0.1412365908610531
364 : 0.14094896283917224
125 : 0.1379233332327221
371 : 0.13775677430430777
271 : 0.13493269511157635
326 : 0.13493269511157546
253 : 0.13493269511157546
428 : 0.13434425331745992
285 : 0.1341831032639611
288 : 0.1341831032639611
104 : 0.1339822877153405
73 : 0.1319568572368821
488 : 0.13131159755493904
321 : 0.1313115975549386
355 : 0.13035423830572723
394 : 0.12555362419826732
36 : 0.125217750022947
362 : 0.12403270150661205
368 : 0.12143454984229196
302 : 0.11764654443181
269 : 0.1166511708958815
23 : 0.11577071381643655
317 : 0.1154193163756605
470 : 0.11535931962890311
482 : 0.11535931962890267
377 : 0.11427941731612812
166 : 0.11426996516503873
136 : 0.11372061420478685
402 : 0.11325462317707613
261 : 0.11308068328814258
469 : 0.11301885385866983
142 : 0.11147820868433378
430 : 0.11083967825456575
165 : 0.10883130109426808
443 : 0.10883130109426808
486 : 0.1081843535978404
460 : 0.10818435359783951
465 : 0.10799816225525216
385 : 0.10734000459395965
451 : 0.10720038793311382
437 : 0.10385154109821837
313 : 0.10385154109821793
447 : 0.10244610272384946
295 : 0.10237122103925111
331 : 0.10169426650577407
193 : 0.09925460831463395
173 : 0.0988834630324762
336 : 0.0980731689491372
513 : 0.0980731689491372
305 : 0.0980731689491372
310 : 0.09567181473336728
260 : 0.09567181473336728
540 : 0.08926018145914627
509 : 0.08562062683142191
383 : 0.08551867612685848
457 : 0.08551867612685804
517 : 0.08551070736328192
171 : 0.08376361845649027
296 : 0.08376361845649027
441 : 0.08376361845649027
617 : 0.0808378159888603
323 : 0.08014252089985252
515 : 0.0737876147436185
548 : 0.07011924468903574
599 : 0.06408755187541582
507 : 0.06408755187541582
636 : 0.06408755187541582
589 : 0.06408755187541582
536 : 0.06408755187541537
529 : 0.06408755187541537
568 : 0.06408755187541537
