681,485,682,809,83,816,797,668,814,812,1224,1219,830,1220,992,804,807,183,386,829,729,671,1115,518,1213,1230,1198,828,1225,514,806,123,865,1229,864,966,1223,1109,844,663,322,810,861,450,316,468,1030,688,484,476,1175,199,61,709,27,849,940,368,1051,94,189,858,879,359,1028,748,943,74,1069,1149,1118,556,1154,833,17,532,1002,1091,424,1089,1110,933,460,79,1176,274,1159,326,604,801,374,355,311,1178,968,217,970,163,1040,1167,321,689,897,781,1177,1017,524,478,971,1222,882,1165,941,314,684,1078,99,1064,885,161,516,1194,187,1150,1157,142,947,411,561,419,550,837,19,1085,836,565,57,1113,392,1226,465,999,113,994,945,570,1027,175,632,1052,116,350,932,594,560,641,1123,1075,1107,1105,48,277,1020,1043,200,543,1066,141,72,170,869,148,891,835,128,609,219,1104,579,1056,365,1203,422,474,262,1054,444,1049,910,23,913,435,593,912,538,1094,926,1153,8,222,842,333,834,351,981,1060,1004,856,863,1142,974,398,267,536,501,174,1034,654,512,1143,868,227,1221,840,866,309,857,831,843,542,907,234,282,874,948,1121,47,442,901,451,243,1,102,432,1117,764,562,192,1033,375,370,1087,959,455,50,466,251,1072,207,69,545,847,147,1183,993,871,1077,387,848,390,1144,870,504,507,334,586,967,1212,508,591,1122,575,935,1166,513,838,88,960,1065,1161,100,942,503,1189,1102,845,760,789,401,919,915,191,285,338,1197,1073,97,193,929,544,1215,1045,95,1174,409,64,554,1214,1026,862,1011,1139,1038,551,859,1141,924,1155,1227,1200,284,1070,934,597,1188,1008,794,788,1127,888,520,205,954,261,280,140,984,995,1182,718,335,707,332,979,216,16,49,1010,11,283,223,477,961,341,90,1120,559,659,997,1138,589,1164,12,517,427,1218,902,1067,1163,949,515,218,977,325,914,875,1098,1068,1187,1111,486,1061,202,614,982,1053,1217,599,448,495,1129,905,687,293,167,256,1035,388,581,145,385,1205,231,973,258,1140,610,328,717,904,1145,78,1170,39,572,7,896,988,1135,471,1050,1211,233,428,177,1114,290,964,623,1032,418,962,1152,529,1134,55,324,1216,143,1095,446,1003,397,972,1201,237,114,224,493,108,990,364,1136,89,1172,204,461,498,1202,1021,260,496,953,225,533,122,292,1013,1101,758,951,1185,985,1041,1210,459,1062,1044,1208,1012,32,1007,159,131,1148,1137,567,987,1162,928,1005,906,996,295,1082,1083,1168,443,678,38,1016,101,296,473,1076,393,923,1195,1196,437,1046,1192,93,1084,125,44,1199,607,1190,1100,287,872,1009,963,178,588,894,103,73,726,416,911,317,746,396,67,117,580,190,470,939,899,883,257,166,603,457,137,421,1130,107,1193,30,153,491,403,587,685,1156,68,1057,952,436,638,510,568,408,546,1146,54,208,417,1128,51,173,584,1024,132,211,1116,438,156,535,629,509,900,13,946,454,647,820,1106,1206,1036,1160,201,238,1158,86,590,766,172,1186,1132,1131,986,1081,85,1207,1086,21,394,1006,45,1204,1179,6,527,1119,80,1055,695,1133,761,895,938,349,357,555,1151,1184,1209,255,600,1180,1147,1042,978,1039,989,624,447,490,790,1124,619,917,179,134,149,480,893,26,56,489,531,1079,931,937,281,884,1112,936,679,343,890,1063,228,367,832,1228,76,268,71,320,1126,927,683,59,1074,1015,1171,18,1173,186,525,1025,1037,1018,644,921,627,111,702,29,605,552,33,65,66,181,1103,482,165,577,430,1014,733,1096,1058,494,922,1019,1000,851,1088,331,583,916,1125,249,645,956,115,479,955,77,312,112,245,1108,345,889,920,360,608,903,169,144,887,121,714,276,537,407,1080,182,881,352,272,998,41,1181,420,196,304,606,656,1090,1022,1029,944,898,950,60,991,526,918,176,327,1031,643,469,1071,203,975,1099,391,150,236,666,634,637,631,930,957,892,1001,1093,1047,1097,1048,785,908,1169,983,120,880,1059,886,958,976,969,980,965,1092,909,464,1023,
Laplacian Score information
681 : 0.388931388185
485 : 0.765847016244
682 : 0.887393683208
809 : 0.903503615354
83 : 0.91210462993
816 : 0.913098973638
797 : 0.91898158496
668 : 0.924106146174
814 : 0.924766238336
812 : 0.924910838031
1224 : 0.926782172384
1219 : 0.933078449544
830 : 0.933507247058
1220 : 0.943738896281
992 : 0.944497842048
804 : 0.946843671442
807 : 0.951571066768
183 : 0.953161103842
386 : 0.954940623549
829 : 0.955576582776
729 : 0.955798762618
671 : 0.956508966115
1115 : 0.956509803968
518 : 0.958767127275
1213 : 0.959795379825
1230 : 0.959795993304
1198 : 0.961773920149
828 : 0.963316564338
1225 : 0.963543117911
514 : 0.963968704006
806 : 0.964126727699
123 : 0.965357858471
865 : 0.96565951846
1229 : 0.965981281024
864 : 0.966280450044
966 : 0.96688103019
1223 : 0.967334511896
1109 : 0.969330339825
844 : 0.969487783029
663 : 0.970044940053
322 : 0.971512747284
810 : 0.972220236006
861 : 0.972226427098
450 : 0.972511695056
316 : 0.972523602255
468 : 0.972834736271
1030 : 0.972994451792
688 : 0.973065021749
484 : 0.973093692232
476 : 0.973328714912
1175 : 0.973335172947
199 : 0.973386631897
61 : 0.97342377086
709 : 0.973571177735
27 : 0.973714085972
849 : 0.973717198548
940 : 0.973717198548
368 : 0.973744535252
1051 : 0.973820421054
94 : 0.974069871409
189 : 0.974069871409
858 : 0.974087460558
879 : 0.974195201605
359 : 0.974216169329
1028 : 0.974216169329
748 : 0.97421692544
943 : 0.97421692544
74 : 0.974290317243
1069 : 0.974320222423
1149 : 0.974344130062
1118 : 0.974418662654
556 : 0.974466146897
1154 : 0.974500340059
833 : 0.974516639304
17 : 0.974567203865
532 : 0.974589156797
1002 : 0.974664453301
1091 : 0.974776597093
424 : 0.974809701352
1089 : 0.974825182656
1110 : 0.97484018279
933 : 0.974863824221
460 : 0.9748688138
79 : 0.974885478852
1176 : 0.974885478852
274 : 0.974897891741
1159 : 0.974897891741
326 : 0.974899086685
604 : 0.974899086685
801 : 0.974967085683
374 : 0.975015331499
355 : 0.975085522316
311 : 0.975097699416
1178 : 0.975128161576
968 : 0.97519971765
217 : 0.975238027067
970 : 0.975239088473
163 : 0.975245478495
1040 : 0.975436944775
1167 : 0.975452903635
321 : 0.975466249594
689 : 0.975662761768
897 : 0.975662761768
781 : 0.975778568819
1177 : 0.975778568819
1017 : 0.975851537621
524 : 0.975935700974
478 : 0.976196543842
971 : 0.976528704274
1222 : 0.976697095075
882 : 0.976872001532
1165 : 0.97692564623
941 : 0.977182289598
314 : 0.978887379503
684 : 0.979188659018
1078 : 0.979408921424
99 : 0.979487057155
1064 : 0.979541619195
885 : 0.979600084437
161 : 0.979670637293
516 : 0.979670637293
1194 : 0.979670637293
187 : 0.979683616374
1150 : 0.979683616374
1157 : 0.979795840407
142 : 0.980011366272
947 : 0.980279324624
411 : 0.980359671649
561 : 0.980377307454
419 : 0.980502431864
550 : 0.980502431864
837 : 0.980545633271
19 : 0.980846855895
1085 : 0.980882418268
836 : 0.981049272832
565 : 0.981053214439
57 : 0.981056759732
1113 : 0.981056759732
392 : 0.98107226724
1226 : 0.981150973572
465 : 0.981154000787
999 : 0.981192773775
113 : 0.981305824653
994 : 0.981313349349
945 : 0.981396371274
570 : 0.981403381222
1027 : 0.981464685832
175 : 0.981486266932
632 : 0.981486266932
1052 : 0.981536623471
116 : 0.981544239303
350 : 0.981544239303
932 : 0.981631650344
594 : 0.981689616949
560 : 0.98173144096
641 : 0.98173144096
1123 : 0.98173144096
1075 : 0.981788551729
1107 : 0.981795074825
1105 : 0.981817087925
48 : 0.98183016293
277 : 0.98183016293
1020 : 0.98183016293
1043 : 0.981928814652
200 : 0.981941246159
543 : 0.981952298586
