474,684,1224,524,828,1219,561,177,514,1225,764,1230,518,865,864,844,1220,830,842,1229,861,219,829,1222,901,947,835,565,227,866,1223,1084,1226,869,833,333,501,204,858,1050,507,314,834,907,1166,1101,1221,959,1033,83,599,1023,542,1165,545,663,1143,1006,1059,856,941,464,233,282,729,843,681,685,1098,7,973,1183,871,960,255,1189,671,538,967,1170,536,1086,847,1119,992,1122,874,654,797,388,69,816,972,969,554,857,1100,33,758,1095,167,624,80,1055,809,374,387,512,370,1116,840,963,496,64,1004,225,1038,1161,1003,927,980,893,1029,885,859,974,178,588,894,1140,957,1131,430,1014,1181,1136,169,41,1162,1153,837,260,1218,965,503,1121,583,919,949,870,807,1124,790,455,29,469,879,86,714,121,391,831,451,994,223,1017,486,1073,409,1064,683,1016,465,321,875,183,997,122,695,570,498,394,466,525,1025,872,1164,427,1132,1013,702,95,1051,1105,1077,1206,904,338,349,555,357,176,131,1156,933,181,66,1103,899,290,515,276,909,251,610,953,21,981,1215,971,911,1028,359,243,460,1127,320,71,1126,1107,1011,794,443,678,1172,948,845,125,1089,159,1043,39,341,594,1069,551,1047,567,1188,988,952,428,1080,1185,552,820,647,163,102,1112,951,44,262,989,459,419,550,140,364,945,1042,368,6,175,632,446,930,938,490,983,76,268,55,976,1118,1052,1030,1204,1168,454,317,73,182,900,471,1063,923,280,1216,1200,1114,482,189,94,717,689,897,1088,444,851,985,1186,172,1149,766,940,849,473,101,296,946,537,165,13,258,832,1228,85,1207,1018,1157,150,709,418,804,149,480,18,186,1104,627,1148,1109,355,173,584,51,1024,114,179,1139,12,1097,470,166,868,883,1208,1197,67,527,438,97,113,245,1217,
Score Information 
474 : 0.13842825794420527
684 : 0.07930946625327599
1224 : 0.034287845789745364
524 : 0.032961451806369564
828 : 0.029940815390400256
1219 : 0.027270632947406358
561 : 0.026204076064983744
177 : 0.025203976748215274
514 : 0.024829643652546377
1225 : 0.02323309370040015
764 : 0.022368118399217308
1230 : 0.021161152153029723
518 : 0.020112728627617323
865 : 0.01817885425810677
864 : 0.01748635648565978
844 : 0.016494320739311313
1220 : 0.016198016336763956
830 : 0.013471815123931656
842 : 0.013175520395356619
1229 : 0.01289707850391234
861 : 0.012679246805484778
219 : 0.012586653915221006
829 : 0.012049509977872614
1222 : 0.012006218095973232
901 : 0.011553594045044415
947 : 0.010785972736557608
835 : 0.01077549397318196
565 : 0.010535533837220699
227 : 0.010358983035761033
866 : 0.010020833883058385
1223 : 0.009211680138846516
1084 : 0.009119255809498902
1226 : 0.00893415465829462
869 : 0.008704342633354489
833 : 0.008669813599422297
333 : 0.007762304310254822
501 : 0.007655391884181059
204 : 0.006447163273918037
858 : 0.006446855622744836
1050 : 0.006416826081822095
507 : 0.006338905057186088
314 : 0.0063015690519984185
834 : 0.006094650745162372
907 : 0.006004018629985894
1166 : 0.0056080562776990115
1101 : 0.0054221209661718716
1221 : 0.0051464840498556
959 : 0.00514531876311568
1033 : 0.005099793714243222
83 : 0.004896426398156665
599 : 0.00480972227309148
1023 : 0.004789500590012321
542 : 0.004759251024947138
1165 : 0.0047247094389055635
545 : 0.00460267576959175
663 : 0.004557909125271186
1143 : 0.00452145144841379
1006 : 0.004365250778498958
1059 : 0.004240193523662145
856 : 0.00423793132773818
941 : 0.0040936457972075985
464 : 0.003881648646406272
