474,684,764,1224,830,1219,797,544,1220,219,177,514,960,524,518,1165,1230,1197,1050,561,864,565,865,829,1140,1003,459,828,290,685,844,1073,1225,1229,1038,542,7,260,1223,831,833,388,1095,1226,428,314,758,663,919,729,1084,966,95,1007,1127,963,923,683,374,992,507,872,1006,66,181,1103,408,546,1146,1119,172,1186,989,861,1086,1139,1204,816,1154,1206,572,80,1055,1157,144,887,681,71,320,1126,83,107,1193,447,1071,169,1017,702,26,490,122,1147,554,794,1181,321,1122,971,1222,991,957,889,204,451,899,882,455,845,843,858,1120,159,836,1044,443,678,125,178,588,894,419,550,835,255,103,834,67,1101,947,510,568,893,993,86,359,1028,394,30,153,491,403,587,945,1106,866,809,1043,6,900,938,1132,917,832,1228,1034,131,927,654,525,1025,837,869,430,1014,1153,583,577,1089,1029,18,884,916,1059,545,863,1142,1208,881,176,733,360,608,903,494,922,1019,469,285,331,920,370,1136,420,1116,391,1156,918,150,234,51,173,584,1024,709,941,464,438,1131,1064,1107,536,1023,527,1001,892,94,189,149,480,879,29,21,1069,994,1027,227,1042,958,33,552,949,113,424,465,326,604,1112,121,714,570,41,179,1105,790,1124,482,1063,842,407,1180,1167,79,1176,167,933,163,65,851,1088,857,309,870,1040,333,1171,538,501,689,897,856,637,276,1080,594,1143,444,981,351,267,50,147,980,965,969,974,192,909,282,466,840,1221,868,1200,1078,207,1010,847,1183,364,874,948,69,1144,334,251,859,1166,512,390,1117,1121,223,225,1102,789,1033,1008,901,807,838,907,387,1004,1212,988,591,1087,871,1072,562,1065,508,100,504,193,16,102,984,11,959,486,64,88,862,485,325,398,1214,90,1011,682,283,503,471,233,804,141,1189,586,513,174,261,12,1077,814,442,599,671,1161,1114,961,32,1215,967,848,218,687,597,668,341,145,1188,1145,39,520,409,397,477,896,990,237,1032,1134,47,551,448,875,1164,202,718,707,183,1198,1155,495,1009,1138,335,885,328,1218,935,322,1216,1151,614,140,1170,45,515,559,478,496,368,1213,581,1083,166,929,1035,788,205,1187,695,338,1227,258,760,1217,293,1129,982,942,1013,1061,27,385,529,1168,996,953,962,427,1162,401,1185,1205,1115,78,1210,332,1100,114,964,1026,38,590,995,972,1062,418,934,256,1081,1109,717,1016,997,915,904,575,55,1135,812,973,1211,97,375,89,280,605,386,460,624,446,1201,231,1163,224,659,1051,1021,951,1172,1202,806,123,461,1148,292,243,1041,888,191,493,324,533,1098,902,1005,143,284,623,987,1012,498,1137,108,1,911,316,1175,928,610,688,906,567,1070,295,476,1076,1141,589,1067,1045,468,1082,44,470,287,1174,1182,977,1152,416,432,517,532,746,952,257,924,985,101,296,473,484,810,1196,1199,1195,93,954,1192,393,1046,450,437,607,1190,1068,49,73,1002,317,1030,117,726,99,580,396,161,516,1194,939,190,766,883,849,940,137,421,1130,436,638,216,19,142,556,208,417,1128,13,946,68,1057,603,509,1111,647,820,199,54,454,156,535,629,457,1149,61,187,1150,1036,85,1207,905,932,1160,1118,1158,411,1133,132,211,979,914,217,1052,986,201,238,1053,349,357,555,1085,560,641,1123,200,175,632,17,1075,355,57,1113,1179,600,311,978,1209,274,1159,801,761,895,1039,1184,72,1178,281,128,609,619,56,489,531,1079,781,1177,1037,343,890,679,228,367,579,76,268,1018,392,644,921,999,134,1074,627,1091,1015,170,74,59,165,937,1173,931,186,111,148,891,116,350,936,249,645,956,1000,543,1066,115,479,955,1104,422,77,312,112,245,1096,48,277,1020,1058,748,943,1125,1056,345,1108,182,998,272,352,537,1022,1049,944,950,930,656,1090,898,196,304,606,1031,365,1203,526,60,1110,1047,643,968,1097,203,975,1099,327,236,970,593,912,666,262,23,913,634,631,1094,1093,8,222,983,1048,120,1054,435,880,785,908,926,910,1169,1060,976,886,1092,
Laplacian Score information
474 : 0.461255946536
684 : 0.583589146808
764 : 0.895936762704
1224 : 0.916401314455
830 : 0.932832999245
1219 : 0.933771125121
797 : 0.941191343418
544 : 0.941656594828
1220 : 0.942654680752
219 : 0.943390435327
177 : 0.945065767872
514 : 0.945381039792
960 : 0.949401471227
524 : 0.951071514282
518 : 0.951938261756
1165 : 0.952242034945
1230 : 0.953465315032
1197 : 0.953615725354
1050 : 0.95397309244
561 : 0.954584444268
864 : 0.954958184015
565 : 0.957869034462
865 : 0.957987345024
829 : 0.95883175687
1140 : 0.959984226737
1003 : 0.960679633179
459 : 0.960699210688
828 : 0.960799978888
290 : 0.960908965482
685 : 0.960977401368
844 : 0.962422508798
1073 : 0.962907133097
1225 : 0.964090051455
1229 : 0.964108143682
1038 : 0.96480238292
542 : 0.965036974971
7 : 0.965587889871
260 : 0.96584548249
1223 : 0.966585384221
831 : 0.966832077854
833 : 0.967062392381
388 : 0.96770395967
1095 : 0.967986362848
1226 : 0.968033060118
428 : 0.968478636704
314 : 0.96938014105
758 : 0.969477655031
663 : 0.969571286001
919 : 0.969635293674
729 : 0.969817076644
1084 : 0.969859203141
966 : 0.970134716343
95 : 0.970187978024
1007 : 0.97034154805
1127 : 0.97082287619
963 : 0.970998188559
923 : 0.971099081666
683 : 0.971188258096
374 : 0.971427570977
992 : 0.97144819163
507 : 0.971780857068
872 : 0.972141022952
1006 : 0.972281895516
66 : 0.972425749353
181 : 0.972425749353
1103 : 0.972425749353
408 : 0.972689918448
546 : 0.972689918448
1146 : 0.972689918448
1119 : 0.972746405867
172 : 0.972866979391
1186 : 0.972866979391
989 : 0.973006163042
861 : 0.973097940037
1086 : 0.973112147234
1139 : 0.973114983952
1204 : 0.973223192896
816 : 0.973310601842
1154 : 0.973323815398
1206 : 0.973406614195
572 : 0.973479435332
80 : 0.973515444093
1055 : 0.973515444093
1157 : 0.973542348528
144 : 0.973630988938
887 : 0.973630988938
681 : 0.973949185544
71 : 0.974094833273
320 : 0.974094833273
1126 : 0.974094833273
83 : 0.974243508313
107 : 0.97428580184
1193 : 0.97428580184
447 : 0.974288224815
1071 : 0.974308395292
169 : 0.974449307099
1017 : 0.974479904565
702 : 0.974541518941
26 : 0.974576617306
490 : 0.974626341053
122 : 0.974761928585
1147 : 0.97492003721
554 : 0.975062961351
794 : 0.97507211236
1181 : 0.975135918041
321 : 0.975384209791
1122 : 0.975446602267
971 : 0.97552934309
1222 : 0.975562297906
991 : 0.97559570402
957 : 0.97562322945
889 : 0.975692559271
204 : 0.976059772313
451 : 0.97607051213
899 : 0.976084366765
882 : 0.976231432841
455 : 0.976558356242
845 : 0.976615963097
843 : 0.976683594918
858 : 0.977041343781
1120 : 0.977218725799
159 : 0.97743928759
836 : 0.977603936445
1044 : 0.977609775715
443 : 0.977712635065
678 : 0.977712635065
125 : 0.978031430044
178 : 0.978125738721
588 : 0.978125738721
894 : 0.978125738721
419 : 0.978442695408
550 : 0.978442695408
835 : 0.97847116508
255 : 0.978587381938
103 : 0.978588642045
834 : 0.978617143327
67 : 0.978699729861
1101 : 0.978804205491
947 : 0.978879538867
510 : 0.978900273671
568 : 0.978900273671
893 : 0.97899253694
993 : 0.979109959528
86 : 0.979175982201
359 : 0.979261047941
1028 : 0.979261047941
394 : 0.979310338624
30 : 0.979316650782
153 : 0.979316650782
491 : 0.979316650782
403 : 0.979316650782
587 : 0.979316650782
945 : 0.979321932213
1106 : 0.979394816833
866 : 0.979479860478
809 : 0.979498800083
1043 : 0.979556412191
6 : 0.979604891588
900 : 0.979640053426
938 : 0.979794103268
1132 : 0.979883485088
917 : 0.979890966742
832 : 0.979899202475
1228 : 0.979899202475
1034 : 0.979934887209
131 : 0.979966815228
